0,Open,High,Low,Close,Volume,Adj Close
2018-02-26 12:01:00,1505.51,1506.0,1505.01,1506.0,1000,1506.0
2018-02-26 12:02:00,1505.8,1506.08,1505.8,1506.0,400,1506.0
2018-02-26 12:03:00,1506.1,1507.0,1506.1,1507.0,700,1507.0
2018-02-26 12:04:00,1506.96,1507.0,1506.4,1507.0,700,1507.0
2018-02-26 12:05:00,1506.55,1506.55,1506.37,1506.41,100,1506.41
2018-02-26 12:06:00,1506.96,1506.96,1505.84,1505.84,800,1505.84
2018-02-26 12:07:00,1505.76,1505.76,1505.76,1505.76,0,1505.76
2018-02-26 12:08:00,1506.95,1506.95,1506.17,1506.89,100,1506.89
2018-02-26 12:09:00,1506.75,1507.0,1506.75,1507.0,100,1507.0
2018-02-26 12:10:00,1506.86,1508.0,1506.86,1508.0,1200,1508.0
2018-02-26 12:11:00,1508.0,1508.45,1507.89,1508.0,1500,1508.0
2018-02-26 12:12:00,1508.44,1508.45,1508.2,1508.4,100,1508.4
2018-02-26 12:13:00,1508.39,1508.45,1507.8,1508.39,200,1508.39
2018-02-26 12:14:00,1508.21,1508.9,1508.15,1508.89,1200,1508.89
2018-02-26 12:15:00,1508.9,1509.0,1508.85,1508.88,800,1508.88
2018-02-26 12:16:00,1508.85,1508.85,1508.47,1508.47,400,1508.47
2018-02-26 12:17:00,1508.37,1508.47,1508.0,1508.47,700,1508.47
2018-02-26 12:18:00,1508.11,1508.55,1508.11,1508.44,200,1508.44
2018-02-26 12:19:00,1508.3,1508.3,1508.0,1508.0,200,1508.0
2018-02-26 12:20:00,1508.3,1508.65,1508.3,1508.58,400,1508.58
2018-02-26 12:21:00,1508.55,1509.2,1508.54,1509.2,1300,1509.2
2018-02-26 12:22:00,1509.39,1509.39,1509.0,1509.0,300,1509.0
2018-02-26 12:23:00,1509.0,1509.35,1508.99,1509.01,800,1509.01
2018-02-26 12:24:00,1509.28,1509.28,1509.25,1509.25,0,1509.25
2018-02-26 12:25:00,1509.0,1509.06,1508.25,1508.25,900,1508.25
2018-02-26 12:26:00,1508.1,1508.1,1508.1,1508.1,100,1508.1
2018-02-26 12:27:00,1508.4,1508.4,1508.0,1508.0,0,1508.0
2018-02-26 12:28:00,1508.3,1508.3,1508.3,1508.3,0,1508.3
2018-02-26 12:29:00,1508.12,1508.12,1508.0,1508.01,400,1508.01
2018-02-26 12:30:00,1508.01,1508.48,1508.0,1508.02,300,1508.02
2018-02-26 12:31:00,1508.0,1508.37,1507.84,1507.94,500,1507.94
2018-02-26 12:32:00,1507.86,1507.94,1507.86,1507.89,600,1507.89
2018-02-26 12:33:00,1507.89,1508.6,1507.84,1508.6,2700,1508.6
2018-02-26 12:34:00,1508.06,1508.11,1508.06,1508.11,200,1508.11
2018-02-26 12:35:00,1508.06,1508.23,1508.06,1508.23,100,1508.23
2018-02-26 12:36:00,1508.2,1508.29,1507.5,1507.5,1400,1507.5
2018-02-26 12:37:00,1507.75,1508.05,1507.75,1508.02,300,1508.02
2018-02-26 12:38:00,1508.11,1508.11,1508.0,1508.0,400,1508.0
2018-02-26 12:39:00,1508.0,1508.6,1508.0,1508.6,200,1508.6
2018-02-26 12:40:00,1508.01,1508.01,1508.01,1508.01,0,1508.01
