20180220 135600;172;172.09;172;172.09;1400
20180220 135700;172.08;172.08;172.01;172.07;1300
20180220 135800;172.04;172.04;171.93;172.01;3100
20180220 135900;171.97;172.01;171.92;172.01;1500
20180220 140000;171.97;171.97;171.82;171.82;5800
20180220 140100;171.9;171.95;171.87;171.9;4700
20180220 140200;171.87;171.9;171.77;171.82;6400
20180220 140300;171.82;171.9;171.81;171.81;200
20180220 140400;171.83;171.95;171.83;171.95;700
20180220 140500;171.91;171.91;171.86;171.86;4000
20180220 140600;171.85;171.93;171.85;171.87;500
20180220 140700;171.87;171.89;171.8;171.81;8300
20180220 140800;171.81;171.9;171.8;171.81;500
20180220 140900;171.85;171.89;171.85;171.89;500
20180220 141000;171.89;171.91;171.86;171.9;900
20180220 141100;171.9;172.02;171.9;172.02;11500
20180220 141200;172.01;172.1;171.98;172.01;1200
20180220 141300;172.09;172.1;172;172.09;700
20180220 141400;172.02;172.1;171.92;171.92;2900
20180220 141500;171.83;171.93;171.72;171.76;6600
20180220 141600;171.82;171.9;171.8;171.81;300
20180220 141700;171.88;171.88;171.81;171.81;1200
20180220 141800;171.81;171.95;171.71;171.95;3500
20180220 141900;171.85;171.94;171.85;171.85;1800
20180220 142000;171.85;172;171.85;172;900
20180220 142100;172.08;172.1;172;172;1700
20180220 142200;172.05;172.08;171.92;172.08;3500
20180220 142300;172.01;172.1;172;172;1900
20180220 142400;171.93;172.06;171.93;172.01;1600
20180220 142500;172.01;172.01;171.94;172;5400
20180220 142600;172;172;171.93;171.93;700
20180220 142700;171.93;171.97;171.93;171.97;2900
20180220 142800;171.97;171.97;171.92;171.97;3300
20180220 142900;171.92;171.95;171.83;171.83;10900
20180220 143000;171.89;172.07;171.84;172.01;10800
20180220 143100;172.05;172.05;171.52;171.9;774900
20180220 143200;171.99;172.59;171.96;172.5;277800
20180220 143300;172.5;172.57;172.33;172.55;226500
20180220 143400;172.57;172.85;172.46;172.85;233800
20180220 143500;172.85;172.91;172.68;172.91;175100
20180220 143600;172.91;173.04;172.81;172.9;207000
20180220 143700;172.88;173.03;172.86;172.99;153500
20180220 143800;172.99;173;172.75;172.83;116700
20180220 143900;172.84;172.9;172.75;172.75;112900
20180220 144000;172.75;172.78;172.53;172.63;172100
20180220 144100;172.66;172.87;172.64;172.69;106200
20180220 144200;172.7;172.76;172.5;172.54;127700
20180220 144300;172.53;172.59;172.38;172.43;107800
20180220 144400;172.44;172.68;172.4;172.58;101700
20180220 144500;172.57;172.57;172.14;172.23;149100
20180220 144600;172.24;172.4;172.21;172.36;103200
20180220 144700;172.36;172.46;172.3;172.42;120600
20180220 144800;172.42;172.45;172.23;172.42;128400
20180220 144900;172.45;172.66;172.37;172.65;141100
20180220 145000;172.65;172.86;172.59;172.8;121300
20180220 145100;172.79;172.95;172.73;172.74;123200
20180220 145200;172.75;172.86;172.7;172.73;62600
20180220 145300;172.73;172.9;172.54;172.88;98700
20180220 145400;172.9;172.97;172.8;172.82;98300
20180220 145500;172.82;172.99;172.8;172.9;90600
20180220 145600;172.9;173.04;172.89;172.9;142100
20180220 145700;172.9;172.97;172.78;172.85;86300
20180220 145800;172.87;172.9;172.76;172.85;61400
20180220 145900;172.86;172.89;172.69;172.69;72800
20180220 150000;172.64;172.87;172.62;172.86;117900
20180220 150100;172.87;173.23;172.85;173.23;237600
20180220 150200;173.23;173.38;173.19;173.21;165000
20180220 150300;173.21;173.55;173.2;173.46;175100
20180220 150400;173.47;173.68;173.31;173.39;174000
20180220 150500;173.38;173.53;173.35;173.42;99100
