20180226 134300;1513.13;1513.13;1512.41;1512.9;900
20180226 134400;1513.32;1513.55;1513;1513.55;1200
20180226 134500;1513.55;1513.68;1513.05;1513.6;500
20180226 134600;1513.1;1513.21;1513.1;1513.21;0
20180226 134700;1513.44;1513.75;1513;1513.37;1900
20180226 134800;1513.15;1513.15;1512.88;1513;400
20180226 134900;1513;1513;1512.3;1512.5;200
20180226 135000;1512.5;1513;1512.15;1512.15;400
20180226 135100;1512.31;1513.6;1512.3;1513.5;2800
20180226 135200;1513.98;1513.98;1513;1513;400
20180226 135300;1513.5;1513.5;1513;1513;200
20180226 135500;1513.16;1513.48;1513.16;1513.48;100
20180226 135600;1513.18;1513.79;1513;1513;200
20180226 135700;1513;1513.5;1513;1513.5;300
20180226 135800;1513.43;1513.43;1512.54;1512.62;300
20180226 135900;1512.86;1513.5;1512.5;1512.64;500
20180226 140000;1513;1513;1512.5;1512.51;600
20180226 140100;1512.51;1513;1512.5;1512.5;700
20180226 140200;1512.5;1512.5;1511.57;1511.7;5500
20180226 140300;1512.15;1513;1512.1;1513;1000
20180226 140400;1512.86;1513.45;1512.28;1512.9;200
20180226 140500;1512.86;1513;1512.86;1512.88;0
20180226 140600;1512.61;1512.66;1512.5;1512.5;500
20180226 140700;1512.6;1512.86;1512.5;1512.53;400
20180226 140800;1512.75;1512.75;1512.54;1512.59;100
20180226 140900;1512.59;1512.6;1512.4;1512.52;500
20180226 141000;1512.6;1513.5;1512.4;1513.5;1300
20180226 141100;1512.75;1513.41;1512.5;1513.3;2700
20180226 141200;1513.41;1513.41;1512.54;1513;300
20180226 141300;1512.52;1513;1512.52;1512.95;0
20180226 141400;1512.57;1512.89;1512.4;1512.6;100
20180226 141500;1512.79;1513;1512;1512.22;700
20180226 141600;1512.22;1512.22;1511.55;1511.9;400
20180226 141700;1511.6;1511.9;1511.54;1511.54;200
20180226 141800;1511.55;1512.01;1511;1511;1700
20180226 141900;1511.4;1511.6;1510.33;1511;800
20180226 142000;1511;1512.01;1511;1511;1600
20180226 142100;1510.76;1511.75;1510.76;1511;400
20180226 142200;1510.92;1511.99;1510.77;1511.67;600
20180226 142300;1511.74;1511.74;1511.02;1511.02;200
20180226 142400;1511.41;1511.6;1511.15;1511.33;400
20180226 142500;1511.35;1511.6;1511.02;1511.02;900
20180226 142600;1511;1511.65;1510.9;1511.04;800
20180226 142700;1511.2;1511.6;1510.85;1511.6;1200
20180226 142800;1511.93;1511.93;1510.78;1511.55;400
20180226 142900;1510.76;1510.78;1508.4;1508.4;3600
20180226 143000;1508.5;1509.52;1508;1509;2400
20180226 143100;1509.2;1511.5;1508.01;1510.13;123000
20180226 143200;1510.86;1510.98;1507;1507;38500
20180226 143300;1507.48;1512.22;1507.48;1512.21;33600
20180226 143400;1512.21;1514;1510.75;1514;34100
20180226 143500;1514.22;1515.45;1513.49;1514.49;39800
20180226 143600;1514.84;1516.32;1514.17;1515.6;43900
20180226 143700;1515.45;1518.5;1515.01;1517.69;47700
20180226 143800;1517.37;1517.6;1514.51;1515.55;42000
20180226 143900;1516.1;1516.72;1513.16;1514.22;23300
20180226 144000;1514.68;1517;1513.99;1517;19300
20180226 144100;1517.39;1518;1515.8;1516.1;18300
20180226 144200;1517;1517.79;1516.3;1517.17;11800
20180226 144300;1516.99;1517.83;1516.65;1517;18200
20180226 144400;1517.06;1517.68;1516.73;1517;16400
20180226 144500;1517.18;1517.31;1515.5;1516.56;19600
20180226 144600;1516.87;1517.69;1516.05;1516.44;18500
20180226 144700;1516.2;1516.44;1513.5;1514.8;27100
20180226 144800;1514.96;1516.34;1514.68;1516.06;10300
20180226 144900;1516;1518;1516;1517.54;19300
20180226 145000;1517.99;1518.69;1517.65;1517.83;17400
20180226 145100;1518;1519;1517.07;1518;29700
20180226 145200;1517.51;1518.6;1517.5;1518.18;6700
20180226 145300;1518;1518;1517.29;1517.6;14400
20180226 145400;1517.68;1517.68;1516.72;1517.64;6600
20180226 145500;1517.61;1518.35;1517.4;1517.68;8700
20180226 145600;1517.37;1518.1;1517.18;1517.86;3300
20180226 145700;1518.2;1518.51;1517.52;1517.52;4500
20180226 145800;1518;1518.27;1517.4;1517.79;6300
20180226 145900;1517.73;1517.73;1516.63;1517.22;5500
20180226 150000;1517.12;1518.31;1517.1;1518.31;12400
20180226 150100;1518.36;1519.11;1517.24;1518.7;16200
20180226 150200;1519.07;1519.56;1518.58;1518.58;15100
20180226 150300;1518.83;1519.9;1518.39;1519.64;11000
20180226 150400;1519.63;1521;1519.39;1521;43800
20180226 150500;1521.06;1521.85;1520.3;1521.6;12700
